customer_uid,imsi
5575-GNVDE,667912822
3668-QPYBK,658397561
7795-CFOCW,736782472
9237-HQITU,482742424
9305-CDSKC,891340512
1452-KIOVK,254277322
6713-OKOMC,701944902
7892-POOKP,755250599
6388-TABGU,797882078
9763-GRSKD,541136246
7469-LKBCI,289926896
8091-TTVAX,918166823
0280-XJGEX,886477799
5129-JLPIS,578861053
3655-SNQYZ,948759870
8191-XWSZG,535726204
9959-WOFKT,517658207
4190-MFLUW,305340571
4183-MYFRB,527356819
8779-QRDMV,289445450
1680-VDCWW,755464457
1066-JKSGK,760175790
3638-WEABW,337817368
6322-HRPFA,287869479
6865-JZNKO,499813166
6467-CHFZW,184653802
8665-UTDHZ,361579820
5248-YGIJN,977895216
8773-HHUOZ,491037789
3841-NFECX,370072327
4929-XIHVW,416726824
6827-IEAUQ,592220131
7310-EGVHZ,451533481
3413-BMNZE,306519939
6234-RAAPL,265237668
6047-YHPVI,408454480
6572-ADKRS,878510359
5380-WJKOV,684594768
8168-UQWWF,620178948
8865-TNMNX,476140550
9489-DEDVP,786379240
9867-JCZSP,421437181
4671-VJLCL,121536689
4080-IIARD,683958167
3714-NTNFO,596583607
5948-UJZLF,819289397
7760-OYPDY,488609360
7639-LIAYI,929059807
2954-PIBKO,904571490
8012-SOUDQ,803148964
9420-LOJKX,152664839
6575-SUVOI,867975427
7495-OOKFY,700495583
4667-QONEA,150923270
1658-BYGOY,651470253
8769-KKTPH,470584085
5067-XJQFU,958700896
3957-SQXML,979186326
5954-BDFSG,655541684
0434-CSFON,666772587
1215-FIGMP,326853300
0526-SXDJP,756591453
0557-ASKVU,302169836
5698-BQJOH,198777648
5122-CYFXA,836388769
8627-ZYGSZ,858965481
3410-YOQBQ,609174973
3170-NMYVV,928854539
7410-OIEDU,658334194
2273-QCKXA,729339987
0731-EBJQB,719518231
1891-QRQSA,306811198
8028-PNXHQ,908304471
5630-AHZIL,319036881
2673-CXQEU,221352549
6416-JNVRK,897604608
5590-ZSKRV,862128381
0191-ZHSKZ,227452799
3887-PBQAO,608082635
5919-TMRGD,479535584
8108-UXRQN,948203253
9191-MYQKX,780269202
9919-YLNNG,589858060
0318-ZOPWS,765528269
4445-ZJNMU,446323136
4808-YNLEU,956226488
1862-QRWPE,189693363
2796-NNUFI,161385809
3016-KSVCP,782241641
4767-HZZHQ,539594163
2424-WVHPL,253038089
7233-PAHHL,167576939
6067-NGCEU,824211324
9848-JQJTX,484360230
8637-XJIVR,788787736
9803-FTJCG,500381839
0278-YXOOG,436366802
3212-KXOCR,807468901
4598-XLKNJ,807333346
6380-ARCEH,600474542
3679-XASPY,534376790
7123-WQUHX,909155723
5386-THSLQ,774288398
3192-NQECA,777163111
6180-YBIQI,224512134
6728-DKUCO,477040004
9750-BOOHV,142140103
8597-CWYHH,181881424
2848-YXSMW,635626255
0486-HECZI,260189237
4549-ZDQYY,238305776
5712-AHQNN,669349367
4846-WHAFZ,315588553
5256-SKJGO,598147267
3071-VBYPO,520530774
9560-BBZXK,538342467
5299-RULOA,217440209
8402-OOOHJ,910358825
9445-ZUEQE,170357968
1091-SOZGA,967880988
2928-HLDBA,767178392
0404-SWRVG,283510257
6497-TILVL,384357156
7219-TLZHO,784935736
4622-YNKIJ,130367080
4412-YLTKF,178312107
6734-PSBAW,809239546
3930-ZGWVE,705218031
2639-UGMAZ,655494932
2876-GZYZC,640182332
6207-WIOLX,678126326
8587-XYZSF,173203209
